ID,Acronym,Definition,Description,Tags,Usage Examples,Related Terms,Slug,Meta Description,Views,Status,Price (USD),Grade,Custom Pricing,Custom Pricing Data,Category ID,Suggested Category,Submitted By,Created At,Updated At
,"CYA","Community Youth Association","A U.S. organization supporting youth in community settings. It promotes education and development for young leaders.","Youth, Community, Association",,,cya/community-youth-association,,0,Approved,$0,2,No,,,Community Youth,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"CYACS","Community Youth Association of Counseling Studies","A U.S. association for youth-focused counseling education. It advances training for mental health support in communities.","Counseling, Youth, Association",,,cyacs/community-youth-association-of-counseling-studies,,0,Approved,$0,2,No,,,Youth Counseling,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"CYAFS","Community Youth Association of Forensic Studies","A U.S. association for youth-focused forensic education. It supports training for legal analysis in communities.","Forensic, Youth, Association",,,cyafs/community-youth-association-of-forensic-studies,,0,Approved,$0,2,No,,,Forensic Youth,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"CYAHS","Community Youth Association of Health Studies","A U.S. association for youth-focused health education. It promotes training for health strategies in communities.","Health, Youth, Association",,,cyahs/community-youth-association-of-health-studies,,0,Approved,$0,2,No,,,Health Youth,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"CYAMS","Community Youth Association of Management Studies","A U.S. association for youth-focused management education. It supports training for leadership in communities.","Management, Youth, Association",,,cyams/community-youth-association-of-management-studies,,0,Approved,$0,2,No,,,Youth Management,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"CYAPS","Community Youth Association of Psychology Studies","A U.S. association for youth-focused psychology education. It advances training for behavior analysis in communities.","Psychology, Youth, Association",,,cyaps/community-youth-association-of-psychology-studies,,0,Approved,$0,2,No,,,Youth Psychology,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"CYARS","Community Youth Association of Rehabilitation Studies","A U.S. association for youth-focused rehabilitation education. It promotes training for recovery in communities.","Rehabilitation, Youth, Association",,,cyars/community-youth-association-of-rehabilitation-studies,,0,Approved,$0,2,No,,,Youth Rehabilitation,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"CYASS","Community Youth Association of Safety Studies","A U.S. association for youth-focused safety education. It supports training for safety standards in communities.","Safety, Youth, Association",,,cyass/community-youth-association-of-safety-studies,,0,Approved,$0,2,No,,,Youth Safety,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"CYBCS","Community Youth Board of Counseling Studies","A U.S. board certifying youth-focused counseling professionals. It ensures expertise for mental health support in communities.","Counseling, Youth, Certification",,,cybcs/community-youth-board-of-counseling-studies,,0,Approved,$0,2,No,,,Youth Counseling,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"CYBFS","Community Youth Board of Forensic Studies","A U.S. board certifying youth-focused forensic professionals. It advances expertise for legal analysis in communities.","Forensic, Youth, Certification",,,cybfs/community-youth-board-of-forensic-studies,,0,Approved,$0,2,No,,,Forensic Youth,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"CYBHS","Community Youth Board of Health Studies","A U.S. board certifying youth-focused health professionals. It ensures expertise for health strategies in communities.","Health, Youth, Certification",,,cybhs/community-youth-board-of-health-studies,,0,Approved,$0,2,No,,,Health Youth,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"CYBMS","Community Youth Board of Management Studies","A U.S. board certifying youth-focused management professionals. It supports expertise for leadership in communities.","Management, Youth, Certification",,,cybms/community-youth-board-of-management-studies,,0,Approved,$0,2,No,,,Youth Management,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
