ID,Acronym,Definition,Description,Tags,Usage Examples,Related Terms,Slug,Meta Description,Views,Status,Price (USD),Grade,Custom Pricing,Custom Pricing Data,Category ID,Suggested Category,Submitted By,Created At,Updated At
,"AIA","American Institute of Architects","A U.S. professional organization for architects. It promotes excellence in architectural design and practice.","Architecture, Professional Organization, Design",,,aia/american-institute-of-architects,,0,Approved,$0,2,No,,,Architecture,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AIACS","American Institute of Addiction Counseling Studies","A U.S. institute for addiction counseling education. It trains professionals in substance abuse recovery.","Counseling, Addiction, Institute",,,aiacs/american-institute-of-addiction-counseling-studies,,0,Approved,$0,2,No,,,Addiction Counseling,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AIAFS","American Institute of Aviation Forensic Studies","A U.S. institute for aviation forensic education. It advances training in crash investigation.","Forensic, Aviation, Institute",,,aiafs/american-institute-of-aviation-forensic-studies,,0,Approved,$0,2,No,,,Aviation Forensics,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AIAHS","American Institute of Allied Health Studies","A U.S. institute for allied health education. It promotes training in healthcare support roles.","Health, Allied, Institute",,,aiahs/american-institute-of-allied-health-studies,,0,Approved,$0,2,No,,,Allied Health,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AIAMS","American Institute of Aviation Management Studies","A U.S. institute for aviation management education. It supports training in flight operations.","Management, Aviation, Institute",,,aiams/american-institute-of-aviation-management-studies,,0,Approved,$0,2,No,,,Aviation Management,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AIAPS","American Institute of Aviation Psychology Studies","A U.S. institute for aviation psychology education. It advances training in pilot mental health.","Psychology, Aviation, Institute",,,aiaps/american-institute-of-aviation-psychology-studies,,0,Approved,$0,2,No,,,Aviation Psychology,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AIARS","American Institute of Aviation Rehabilitation Studies","A U.S. institute for aviation rehabilitation education. It promotes training for injured aviation workers.","Rehabilitation, Aviation, Institute",,,aiars/american-institute-of-aviation-rehabilitation-studies,,0,Approved,$0,2,No,,,Aviation Rehabilitation,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AIASS","American Institute of Aviation Safety Studies","A U.S. institute for aviation safety education. It supports training in flight safety practices.","Safety, Aviation, Institute",,,aiass/american-institute-of-aviation-safety-studies,,0,Approved,$0,2,No,,,Aviation Safety,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AIBCS","American Institute of Behavioral Counseling Studies","A U.S. institute for behavioral counseling education. It advances training in behavior modification.","Counseling, Behavioral, Institute",,,aibcs/american-institute-of-behavioral-counseling-studies,,0,Approved,$0,2,No,,,Behavioral Counseling,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AIBHS","American Institute of Behavioral Health Studies","A U.S. institute for behavioral health education. It promotes teaching in mental wellness.","Health, Behavioral, Institute",,,aibhs/american-institute-of-behavioral-health-studies,,0,Approved,$0,2,No,,,Behavioral Health,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AIBMS","American Institute of Biomedical Studies","A U.S. institute for biomedical education. It supports training in medical technology.","Biomedical, Education, Institute",,,aibms/american-institute-of-biomedical-studies,,0,Approved,$0,2,No,,,Biomedical Studies,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AIBSS","American Institute of Biological Safety Studies","A U.S. institute for biological safety education. It advances training in biohazard management.","Safety, Biological, Institute",,,aibss/american-institute-of-biological-safety-studies,,0,Approved,$0,2,No,,,Biological Safety,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AIC","American Institute of Chemists","A U.S. professional organization for chemists. It promotes advancements in chemical sciences.","Chemistry, Professional Organization, Science",,,aic/american-institute-of-chemists,,0,Approved,$0,2,No,,,Chemistry,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AICCS","American Institute of Community Counseling Studies","A U.S. institute for community counseling education. It promotes training in local mental health.","Counseling, Community, Institute",,,aiccs/american-institute-of-community-counseling-studies,,0,Approved,$0,2,No,,,Community Counseling,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AICHS","American Institute of Community Health Studies","A U.S. institute for community health education. It supports teaching in public wellness.","Health, Community, Institute",,,aichs/american-institute-of-community-health-studies,,0,Approved,$0,2,No,,,Community Health,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
,"AICMS","American Institute of Construction Management Studies","A U.S. institute for construction management education. It advances training in building projects.","Construction, Management, Institute",,,aicms/american-institute-of-construction-management-studies,,0,Approved,$0,2,No,,,Construction Management,,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z
