Acronym,Definition,Description,Tags,Grade
AAADMS,,,,3
AAAGB,,,,3
AABAC,,,,3
AABDC,,,,3
AABPO,,,,3
AABSA,,,,3
AABWV,,,,3
AACBS,,,,3
AACMIS,,,,3
AADFI,,,,3
AADSAS,,,,3
AAEMIS,,,,3
AAGSB,,,,3
AAHBB,,,,3
AAIBC,,,,3
AAIBO,,,,3
AAISP,,,,3
AAMMIS,,,,3
AAP,,,,3
AARDS,,,,3
AARTI,,,,3
AASAM,,,,3
AASBA,,,,3
AASBO,,,,3
AASCIF,,,,3
AAVAF,,,,3
AAW,,,,3
AB,,,,3
ABAOC,,,,3
ABCAR,,,,3
ABCSE,,,,3
ABDF,,,,3
ABDOC,,,,3
ABEAM,,,,3
ABESE,,,,3
ABFIS,,,,3
ABFSE,,,,3
ABFU,,,,3
ABFUS,,,,3
ABGV,,,,3
ABHRU,,,,3
ABIE,,,,3
ABIZ,,,,3
ABLSC,,,,3
ABMVSS,,,,3
ABORM,,,,3
ABPLS,,,,3
ABRFI,,,,3
ABSEL,,,,3
ABSUB,,,,3
ABWIC,,,,3
AC,,,,3
ACALS,,,,3
ACBAS,,,,3
ACBBA,,,,3
ACBDA,,,,3
ACBJ,,,,3
ACBOF,,,,3
ACBOP,,,,3
ACCEPS,,,,3
ACCFSL,,,,3
ACCMIS,,,,3
ACELAB,,,,3
ACESM,,,,3
ACFMS,,,,3
ACHDNC,,,,3
ACIBC,,,,3
ACIBPF,,,,3
ACLMIS,,,,3
ACOBA,,,,3
ACOCS,,,,3
ACPAU,,,,3
ACREF,,,,3
ACRX,,,,3
ACSAHL,,,,3
ACSBE,,,,3
ACT,,,,3
ACT,,,,3
ACT,,,,3
ACTPS,,,,3
ACTTLC,,,,3
ACUBO,,,,3
ACVAR,,,,3
ACVBA,,,,3
ADAPSO,,,,3
ADBEX,,,,3
ADBMIS,,,,3
ADDME,,,,3
ADECS,,,,3
ADETEF,,,,3
ADFIM,,,,3
ADIMSS,,,,3
ADMITS,,,,3
ADMY,,,,3
ADNIF,,,,3
ADPMIS,,,,3
ADPSC,,,,3
ADPSS,,,,3
ADTRAN,,,,3
ADWT,,,,3
AEDMS,,,,3
AEDQ,,,,3
AEEID,,,,3
AEHMS,,,,3
AEMFI,,,,3
AEMIS,,,,3
AEPAM,,,,3
AESES,,,,3
AESTIR,,,,3
AETBC,,,,3
AETCNS,,,,3
AETDL,,,,3
AF,,,,3
AFAANZ,,,,3
AFAFC,,,,3
AFAFO,,,,3
AFBID,,,,3
AFBLA,,,,3
AFCALS,,,,3
AFCAPI,,,,3
AFCDD,,,,3
AFCIMS,,,,3
AFCOCS,,,,3
AFCZ,,,,3
AFDSC,,,,3
AFEEIC,,,,3
AFEKMS,,,,3
AFELIS,,,,3
AFEMS,,,,3
AFFAC,,,,3
AFISM,,,,3
AFJE,,,,3
AFJIMS,,,,3
AFKMS,,,,3
AFLOMS,,,,3
AFLSB,,,,3
AFMIN,,,,3
AFOOF,,,,3
AFORMS,,,,3
AFOSI,,,,3
AFRAMS,,,,3
AFSAEF,,,,3
AFSFMS,,,,3
AFTMS,,,,3
AFTOMS,,,,3
AGBDC,,,,3
AGCB,,,,3
AGECB,,,,3
AGEOPS,,,,3
AGFOA,,,,3
AGIMIS,,,,3
AGPACS,,,,3
AGPOF,,,,3
AGRMIS,,,,3
AHBBS,,,,3
AHBTC,,,,3
AHDMPC,,,,3
AHERO,,,,3
AHFME,,,,3
AHIMS,,,,3
AHRIMS,,,,3
AHSFMA,,,,3
AHSSI,,,,3
AHTBC,,,,3
AIABG,,,,3
AIAFD,,,,3
AIAPI,,,,3
AIBDC,,,,3
AICMS,,,,3
AID,,,,3
AIDPMO,,,,3
AIDS,,,,3
AIFBQ,,,,3
AIIIBN,,,,3
AIMER,,,,3
AIMIT,,,,3
AINOMB,,,,3
AIOBP,,,,3
AIOLE,,,,3
AIPBW,,,,3
AIS,,,,3
AISCM,,,,3
AITSI,,,,3
AIXESA,,,,3
AJAIS,,,,3
AJBCC,,,,3
AJIF,,,,3
AK,,,,3
AKESP,,,,3
AKIEBS,,,,3
AKUR,,,,3
ALAFCO,,,,3
ALASBO,,,,3
ALB,,,,3
ALBDC,,,,3
ALEB,,,,3
ALHFA,,,,3
ALMIDS,,,,3
ALMSA,,,,3
ALMSS,,,,3
ALPMS,,,,3
ALPSS,,,,3
ALT,,,,3
AM,,,,3
AM,,,,3
AM,,,,3
AM,,,,3
AMA,,,,3
AMACUS,,,,3
AMADN,,,,3
AMADNS,,,,3
AMASM,,,,3
AMATPS,,,,3
AMBCI,,,,3
AMBLE,,,,3
AMBUCS,,,,3
AMC,,,,3
AMCBA,,,,3
AMDOCS,,,,3
AMEEN,,,,3
AMFIU,,,,3
AMICUS,,,,3
AMIIS,,,,3
AMINA,,,,3
AMITS,,,,3
AMJAMS,,,,3
AMKM,,,,3
AMNSA,,,,3
AMNSE,,,,3
AMRCC,,,,3
AMTMS,,,,3
ANBHF,,,,3
ANDMS,,,,3
ANENT,,,,3
ANI,,,,3
ANISIG,,,,3
ANJF,,,,3
ANSDIT,,,,3
ANSI,,,,3
ANSSN,,,,3
ANZABI,,,,3
ANZBC,,,,3
ANZIBA,,,,3
ANZIF,,,,3
ANZIIF,,,,3
ANZSPC,,,,3
AOEDE,,,,3
AOEF,,,,3
AON,,,,3
AOSBC,,,,3
AOWTS,,,,3
APADE,,,,3
APBSLG,,,,3
APBWB,,,,3
APCBA,,,,3
APCOTS,,,,3
APEBA,,,,3
APEBH,,,,3
APETS,,,,3
APFAT,,,,3
APFMIS,,,,3
API,,,,3
API,,,,3
APIAI,,,,3
APICOL,,,,3
APIEMS,,,,3
APITEN,,,,3
APNBA,,,,3
APNGBC,,,,3
APPMS,,,,3
APPSBG,,,,3
APPSVC,,,,3
APSCOM,,,,3
APSED,,,,3
APSIM,,,,3
APSMFC,,,,3
ARCMIS,,,,3
ARCSBI,,,,3
ARESC,,,,3
ARHMS,,,,3
ARIMS,,,,3
ARIPAR,,,,3
ARMACS,,,,3
ARMDS,,,,3
ARMIS,,,,3
ARMMIS,,,,3
ARNBD,,,,3
ARP,,,,3
ARPDAU,,,,3
ARPMIS,,,,3
ARSDM,,,,3
ARTEC,,,,3
ARTIMS,,,,3
ASAMC,,,,3
ASBAA,,,,3
ASBAC,,,,3
ASBAN,,,,3
ASBBS,,,,3
ASBDI,,,,3
ASBGC,,,,3
ASBIS,,,,3
ASBNC,,,,3
ASBOI,,,,3
ASBTA,,,,3
ASBW,,,,3
ASC,,,,3
ASCDI,,,,3
ASEMS,,,,3
ASFAC,,,,3
ASIBA,,,,3
ASIFP,,,,3
ASIIS,,,,3
ASIMIS,,,,3
ASITS,,,,3
ASIUS,,,,3
ASKMM,,,,3
ASMBI,,,,3
ASOFIN,,,,3
ASOMS,,,,3
ASOTB,,,,3
ASPBI,,,,3
ASR,,,,3
ASRTD,,,,3
ASVDS,,,,3
ASWBPL,,,,3
AT,,,,3
ATAAPS,,,,3
ATACAS,,,,3
ATBTA,,,,3
ATEAMS,,,,3
ATEMF,,,,3
ATEMIS,,,,3
ATENA,,,,3
ATFMS,,,,3
ATGSB,,,,3
ATHENS,,,,3
ATMAS,,,,3
ATMF,,,,3
ATMOSS,,,,3
ATPMN,,,,3
ATQPS,,,,3
ATRAS,,,,3
ATRIMS,,,,3
ATROE,,,,3
ATS,,,,3
ATSDMS,,,,3
ATSSD,,,,3
ATSUI,,,,3
ATTNMS,,,,3
ATWOLA,,,,3
AUBER,,,,3
AUEB,,,,3
AUFE,,,,3
AUTOMA,,,,3
AUXMIS,,,,3
AVENUE,,,,3
AVIBE,,,,3
AVMMS,,,,3
AVNMP,,,,3
AVOB,,,,3
AVRLSS,,,,3
AVVBA,,,,3
AWAMS,,,,3
AWARES,,,,3
AWBES,,,,3
AWEEB,,,,3
AWIBC,,,,3
AWIMS,,,,3
AXEDIS,,,,3
AZBTA,,,,3
AZFLSE,,,,3
BAAAP,,,,3
BABCNE,,,,3
BABCOC,,,,3
BABOK,,,,3
BABTA,,,,3
BACEF,,,,3
BACIE,,,,3
BACOE,,,,3
BACSEE,,,,3
BAFPS,,,,3
BAGCP,,,,3
BAHBA,,,,3
BAHEE,,,,3
BAHR,,,,3
BAIDT,,,,3
BALLE,,,,3
BANE,,,,3
BANSEA,,,,3
BAOH,,,,3
BAPMI,,,,3
BAPNE,,,,3
BARBB,,,,3
BASCAP,,,,3
BAUAFU,,,,3
BBACS,,,,3
BBACT,,,,3
BBAE,,,,3
BBAK,,,,3
BBBEF,,,,3
BBBMBC,,,,3
BBBNH,,,,3
BBBVI,,,,3
BBBVS,,,,3
BBC,,,,3
BBCDC,,,,3
BBCTA,,,,3
BBFB,,,,3
BBGV,,,,3
BBHOF,,,,3
BBKU,,,,3
BBLJ,,,,3
BBMD,,,,3
BBNMS,,,,3
BBON,,,,3
BBOPS,,,,3
BBRAMS,,,,3
BBSDP,,,,3
BBSLG,,,,3
BBTAP,,,,3
BBYP,,,,3
BCASJ,,,,3
BCBCA,,,,3
BCBDS,,,,3
BCBEA,,,,3
BCBUU,,,,3
BCDBS,,,,3
BCDMEP,,,,3
BCDPM,,,,3
BCEAM,,,,3
BCERMS,,,,3
BCEWS,,,,3
BCFMS,,,,3
BCFRA,,,,3
BCFTA,,,,3
BCGU,,,,3
BCHSSD,,,,3
BCLDB,,,,3
BCOKC,,,,3
BCPNG,,,,3
BCPWHO,,,,3
BCRIS,,,,3
BCROM,,,,3
BCRTS,,,,3
BCSCF,,,,3
BCSDGM,,,,3
BCSDM,,,,3
BCSDZ,,,,3
BCTN,,,,3
BCTST,,,,3
BCUN,,,,3
BDAB,,,,3
BDAOC,,,,3
BDAU,,,,3
BDBMC,,,,3
BDNC,,,,3
BDQAS,,,,3
BDSO,,,,3
BDVF,,,,3
BDXI,,,,3
BEACS,,,,3
BEAFI,,,,3
BEBR,,,,3
BECCA,,,,3
BECSC,,,,3
BEDCA,,,,3
BEIM,,,,3
BEIRC,,,,3
BELNET,,,,3
BEPN,,,,3
BEPNE,,,,3
BERTL,,,,3
BESAR,,,,3
BESIG,,,,3
BESSIP,,,,3
BESTAP,,,,3
BETASA,,,,3
BETRE,,,,3
BETSIE,,,,3
BEVC,,,,3
BFCFS,,,,3
BFIRE,,,,3
BFMDS,,,,3
BFSLA,,,,3
BGBLP,,,,3
BGBU,,,,3
BGDBM,,,,3
BGLCSS,,,,3
BGOSH,,,,3
BH,,,,3
BHBBI,,,,3
BHBBO,,,,3
BHBFC,,,,3
BHBIA,,,,3
BHCGSW,,,,3
BHERT,,,,3
BHESC,,,,3
BHIMS,,,,3
BHOC,,,,3
BHRRC,,,,3
BHSHRM,,,,3
BIAIT,,,,3
BIBN,,,,3
BICABR,,,,3
BICEPP,,,,3
BIDCO,,,,3
BIDSS,,,,3
BIFEC,,,,3
BIFU,,,,3
BIHECC,,,,3
BILIT,,,,3
BIOCB,,,,3
BIOCOB,,,,3
BIOS,,,,3
BIPAC,,,,3
BIPMS,,,,3
BIRMIS,,,,3
BIRV,,,,3
BISMAC,,,,3
BISNIS,,,,3
BISRO,,,,3
BISYON,,,,3
BITCI,,,,3
BIZNET,,,,3
BIZPAC,,,,3
BJBU,,,,3
BJFP,,,,3
BKBG,,,,3
BKCOB,,,,3
BLAMS,,,,3
BLAPO,,,,3
BLARS,,,,3
BLASC,,,,3
BLAW,,,,3
BLEBP,,,,3
BLFCA,,,,3
BLGF,,,,3
BLHG,,,,3
BLIHR,,,,3
BLLCP,,,,3
BLMTB,,,,3
BLNM,,,,3
BLNW,,,,3
BLOCS,,,,3
BLOPI,,,,3
BLSBP,,,,3
BLSY,,,,3
BLTMS,,,,3
BLWY,,,,3
BLYNY,,,,3
BMADS,,,,3
BMAPI,,,,3
BMC,,,,3
BMEDS,,,,3
BMEX,,,,3
BMITF,,,,3
BMNES,,,,3
BMO,,,,3
BMO,,,,3
BMSW,,,,3
BMVK,,,,3
BMWBO,,,,3
BMWMB,,,,3
BNBN,,,,3
BNEG,,,,3
BNEJ,,,,3
BOBB,,,,3
BOBCA,,,,3
BOBEX,,,,3
BOBF,,,,3
BOBJ,,,,3
BOCEP,,,,3
BOCES,,,,3
BOCES,,,,3
BOE,,,,3
BOLMA,,,,3
BONX,,,,3
BOPIS,,,,3
BOPLSP,,,,3
BOPN,,,,3
BOSCU,,,,3
BOSMIP,,,,3
BOUG,,,,3
BP,,,,3
BPAWG,,,,3
BPELJ,,,,3
BPEVR,,,,3
BPINS,,,,3
BPOI,,,,3
BPOY,,,,3
BPPCEB,,,,3
BPTCS,,,,3
BPUI,,,,3
BPUPK,,,,3
BPUPKI,,,,3
BPWI,,,,3
BPWUK,,,,3
BPWUSA,,,,3
BPXL,,,,3
BRANDS,,,,3
BRBB,,,,3
BRBDC,,,,3
BRBJ,,,,3
BRCWG,,,,3
BRDIS,,,,3
BREHP,,,,3
BRELA,,,,3
BREMSS,,,,3
BREV,,,,3
BREVT,,,,3
BRITE,,,,3
BRLOC,,,,3
BRPIT,,,,3
BRUG,,,,3
BSAMC,,,,3
BSBAC,,,,3
BSBDC,,,,3
BSBPA,,,,3
BSBR,,,,3
BSDMS,,,,3
BSDRC,,,,3
BSECBC,,,,3
BSILS,,,,3
BSIPC,,,,3
BSMAA,,,,3
BSMHT,,,,3
BSMIS,,,,3
BSPPD,,,,3
BSS,,,,3
BSTAI,,,,3
BSUS,,,,3
BTAAA,,,,3
BTAI,,,,3
BTAMS,,,,3
BTANYS,,,,3
BTBAF,,,,3
BTBE,,,,3
BTET,,,,3
BTIPP,,,,3
BTSRI,,,,3
BTWBA,,,,3
BUCEC,,,,3
BUCO,,,,3
BUFDG,,,,3
BUJSTL,,,,3
BUOY,,,,3
BUSAV,,,,3
BUTE,,,,3
BUVM,,,,3
BVACOP,,,,3
BVDCS,,,,3
BVMW,,,,3
BVSWMA,,,,3
BVTE,,,,3
BWBD,,,,3
BWDMA,,,,3
BWIMS,,,,3
BWLS,,,,3
BWPSI,,,,3
BXJ,,,,3
BYBIA,,,,3
BYOB,,,,3
BYOIB,,,,3
CAABI,,,,3
CAARS,,,,3
CAASP,,,,3
CABA,,,,3
CABAA,,,,3
CABAM,,,,3
CABB,,,,3
CABCP,,,,3
CABDC,,,,3
CABEA,,,,3
CABFS,,,,3
CABLN,,,,3
CABNIS,,,,3
CABPA,,,,3
CABPC,,,,3
CABREE,,,,3
CACMIS,,,,3
CACUBO,,,,3
CADMSS,,,,3
CAECW,,,,3
CAERN,,,,3
CAEW,,,,3
CAFSBM,,,,3
CAGEC,,,,3
CAHES,,,,3
CAHHSA,,,,3
CAHSPR,,,,3
CAHSS,,,,3
CAIFM,,,,3
CAIRSS,,,,3
CALCAN,,,,3
CALMIS,,,,3
CALMMS,,,,3
CALS,,,,3
CALVE,,,,3
CAMEF,,,,3
CAMID,,,,3
CAMITS,,,,3
CAMS,,,,3
CANSIM,,,,3
CAOBT,,,,3
CAPBA,,,,3
CAPDAN,,,,3
CAPEB,,,,3
CAPPC,,,,3
CAPSON,,,,3
CARMAC,,,,3
CARMC,,,,3
CARS,,,,3
CARTF,,,,3
CASBEC,,,,3
CASEOM,,,,3
CASHFI,,,,3
CASIBM,,,,3
CASMIS,,,,3
CAUBO,,,,3
CAUSES,,,,3
CAWBO,,,,3
CAYBO,,,,3
CB,,,,3
CBADM,,,,3
CBARM,,,,3
CBAWC,,,,3
CBBN,,,,3
CBCAN,,,,3
CBDDG,,,,3
CBDTA,,,,3
CBEBP,,,,3
CBERD,,,,3
CBEY,,,,3
CBFQ,,,,3
CBGHR,,,,3
CBILS,,,,3
CBLR,,,,3
CBLW,,,,3
CBMIS,,,,3
CBMZ,,,,3
CBNOC,,,,3
CBOCES,,,,3
CBQOS,,,,3
CBQS,,,,3
CBSACC,,,,3
CBSUP,,,,3
CBZD,,,,3
CCACS,,,,3
CCBDE,,,,3
CCBID,,,,3
CCBOA,,,,3
CCBPW,,,,3
CCBUR,,,,3
CCBV,,,,3
CCCBI,,,,3
CCCDM,,,,3
CCCHHS,,,,3
CCCIF,,,,3
CCCRM,,,,3
CCDMA,,,,3
CCECS,,,,3
CCEMSA,,,,3
CCEPS,,,,3
CCFEA,,,,3
CCFU,,,,3
CCHSE,,,,3
CCIBA,,,,3
CCIMB,,,,3
CCMDB,,,,3
CCMFOA,,,,3
CCSBDC,,,,3
CCSBE,,,,3
CCSESA,,,,3
CCTOL,,,,3
CCVIS,,,,3
CDBMA,,,,3
CDBV,,,,3
CDCBC,,,,3
CDCNSS,,,,3
CDEMS,,,,3
CDIPAF,,,,3
CDLIS,,,,3
CDMBA,,,,3
CDOEXM,,,,3
CDOF,,,,3
CDPSL,,,,3
CDSOM,,,,3
CDSUMO,,,,3
CDWBL,,,,3
CEBLO,,,,3
CEBRE,,,,3
CEBRS,,,,3
CECDB,,,,3
CECES,,,,3
CECPM,,,,3
CECPRS,,,,3
CECRS,,,,3
CEDBR,,,,3
CEDCE,,,,3
CEDMS,,,,3
CEEBC,,,,3
CEEBIC,,,,3
CEEIS,,,,3
CEESL,,,,3
CEETBF,,,,3
CEFMS,,,,3
CEGACT,,,,3
CEHSP,,,,3
CEIBS,,,,3
CEIBT,,,,3
CEILE,,,,3
CEMAFI,,,,3
