Acronym,Definition,Description,Tags,Grade
CMAA,Construction Management Association of America,A professional organization dedicated to promoting the construction management industry and developing construction management professionals. CMAA establishes industry standards provides professional development certifies qualified construction managers and advocates for the value of professional construction management delivering projects that meet owners' expectations for cost schedule quality and functionality.,Construction,4
CMBS,Commercial Mortgage-Backed Securities,A type of fixed-income security collateralized by commercial real estate loans typically involving properties such as apartment buildings office buildings shopping centers and hotels. CMBS provides liquidity to real estate markets allows lenders to offer more commercial mortgages and gives investors access to commercial real estate returns with varying risk-return profiles through different security tranches.,Finance,4
CMDB,Configuration Management Database,A repository that stores information about IT assets (known as configuration items) and the relationships between them. CMDB serves as a foundation for IT service management processes enabling organizations to track document and control changes to their IT infrastructure improve incident management support decision-making and maintain visibility of technology assets throughout their lifecycle.,Technology,4
CMIP,Coupled Model Intercomparison Project,An international framework for coordinating climate model experiments and improving understanding of climate change. CMIP facilitates the systematic comparison of climate models standardizes experimental protocols defines common output formats and provides access to simulation results enabling scientists to evaluate model performance identify sources of uncertainty and improve climate predictions.,Science,4
CMMC,Cybersecurity Maturity Model Certification,A unified standard for implementing cybersecurity across the defense industrial base that includes all companies in the supply chain for Department of Defense contracts. CMMC combines various cybersecurity standards into a comprehensive framework with five maturity levels requiring contractors to implement and be certified to a specific level of cybersecurity practices to protect sensitive defense information.,Security,4
CMMS,Computerized Maintenance Management System,A software solution that maintains a database of information about an organization's maintenance operations and facilitates the processes of maintenance. CMMS tracks asset details schedules preventive maintenance manages work orders monitors inventory and analyzes maintenance activities helping organizations optimize resource utilization minimize downtime and extend equipment life.,Technology,4
CMRR,Cardiac Magnetic Resonance Research,A specialized field of medical research focusing on the application of magnetic resonance imaging technology to study cardiac structure function and disease. CMRR develops advanced imaging protocols analyzes cardiac tissue characteristics evaluates blood flow dynamics and assesses myocardial viability providing detailed non-invasive diagnostic information for various heart conditions and contributing to advancements in cardiovascular medicine.,Healthcare,4
CNCF,Cloud Native Computing Foundation,An open source software foundation dedicated to making cloud native computing universal and sustainable. CNCF hosts and nurtures components of cloud native software stacks including Kubernetes Prometheus and numerous other projects bringing together developers end users and vendors to build an ecosystem that enables organizations to run scalable applications in modern dynamic environments.,Technology,4
CNCS,Corporation for National and Community Service,A federal agency that engages millions of Americans in service through AmeriCorps Senior Corps and other national service initiatives. CNCS provides grants supports volunteers coordinates national days of service and facilitates civic engagement addressing critical needs in education public safety disaster response environmental stewardship health and economic opportunity.,Government,4
CNMI,Commonwealth of the Northern Mariana Islands,A U.S. commonwealth in political union with the United States consisting of 14 islands in the northwestern Pacific Ocean. CNMI is a self-governing territory with its own constitution government legal system and economic development initiatives while maintaining U.S. citizenship for its residents and receiving federal funding for various programs and services.,Geography,4
