Acronym,Definition,Description,Tags,Grade
GIS,Geographic Information System,A framework for gathering managing and analyzing geographic data. GIS integrates spatial information with database operations enabling users to visualize query analyze and interpret data to understand relationships patterns and trends related to geographic locations.,Technology,4
EIA,Environmental Impact Assessment,A process of evaluating the likely environmental impacts of a proposed project or development taking into account socio-economic cultural and human-health impacts. EIA identifies potential environmental effects before implementation helping decision-makers develop environmentally sound and sustainable development.,Environment,4
FSC,Forest Stewardship Council,An international non-profit organization that promotes responsible management of the world's forests. FSC sets standards for forest products creates certification systems and provides tracemarks ensuring that products come from responsibly managed forests that provide environmental social and economic benefits.,Environment,4
LCA,Life Cycle Assessment,A technique to assess environmental impacts associated with all stages of a product's life from raw material extraction through processing manufacturing distribution use and disposal or recycling. LCA helps identify opportunities to improve environmental performance throughout the product lifecycle.,Environment,4
B2B,Business to Business,A type of commerce transaction that exists between businesses such as one involving a manufacturer and wholesaler or a wholesaler and a retailer. B2B transactions tend to occur in the supply chain where one company purchases raw materials from another to use in manufacturing.,Business,4
B2C,Business to Consumer,A sales model where businesses sell products or services directly to consumers. B2C companies typically sell finished goods or services directly to end users through retail stores online marketplaces or direct sales channels bypassing intermediaries in the distribution channel.,Business,4
RFP,Request for Proposal,A document that solicits proposal services through a bidding process from potential vendors or service providers. RFPs outline project requirements objectives scope timeline evaluation criteria and contractual terms helping organizations identify the most qualified vendor for their specific needs.,Business,4
RFQ,Request for Quotation,A standard business process whose purpose is to invite suppliers into a bidding process to bid on specific products or services. RFQs include exact specifications of the items or services being requested allowing vendors to provide accurate pricing for direct comparison.,Business,4
CSR,Corporate Social Responsibility,A self-regulating business model that aims to make a company socially accountable to itself its stakeholders and the public. CSR practices include environmental sustainability initiatives ethical labor practices philanthropic giving and community involvement demonstrating a commitment to social and environmental concerns.,Business,4
ESG,Environmental Social and Governance,A set of standards for a company's operations that socially conscious investors use to screen potential investments. ESG criteria consider how a corporation safeguards the environment manages relationships with employees suppliers customers and communities and handles leadership ethics and shareholder rights.,Business,4
CIO,Chief Information Officer,A senior executive responsible for managing implementing and usability of information and computer technologies within an organization. The CIO oversees IT strategy security operations and alignment with business goals ensuring that technology investments deliver value and competitive advantage.,Business,4
CISO,Chief Information Security Officer,A senior-level executive responsible for establishing and maintaining the enterprise vision strategy and program to ensure information assets and technologies are adequately protected. The CISO directs staff in identifying analyzing evaluating and mitigating information security risks.,Cybersecurity,4
DLP,Data Loss Prevention,A set of tools and processes used to ensure that sensitive data is not lost stolen or accessed by unauthorized users. DLP software identifies monitors and protects data in use in motion and at rest through content inspection context analysis and security measures across an organization.,Cybersecurity,4
SOC,Security Operations Center,A facility that houses a team responsible for monitoring and analyzing an organization's security posture on an ongoing basis. SOC staff work with security technologies and processes to detect investigate respond to and prevent cybersecurity incidents protecting enterprise information systems.,Cybersecurity,4
WAF,Web Application Firewall,A firewall that monitors filters or blocks HTTP traffic to and from a web application. WAFs protect web applications from attacks such as cross-site forgery cross-site-scripting SQL injection and file inclusion providing a layer of protection between the internet and web applications.,Cybersecurity,4
IDS,Intrusion Detection System,A device or software application that monitors a network or systems for malicious activity or policy violations. IDS systems collect and analyze information from various areas within a computer or network to identify possible security breaches which include attacks from outside and within the organization.,Cybersecurity,4
IPS,Intrusion Prevention System,A network security technology that examines network traffic flows to detect and prevent vulnerability exploits. IPS works by actively scanning and analyzing suspicious content for threats and taking automatic actions when threats are detected such as dropping malicious packets blocking traffic or resetting connections.,Cybersecurity,4
ECC,Elliptic Curve Cryptography,A public-key cryptography system based on the algebraic structure of elliptic curves over finite fields. ECC requires smaller keys compared to non-EC cryptography to provide equivalent security making it useful for mobile applications digital signatures and other systems with limited computing resources.,Cybersecurity,4
PKI,Public Key Infrastructure,A framework for managing digital certificates and public-key encryption that enables secure electronic transfer of information. PKI creates issues renews and revokes digital certificates binding public keys with user identities providing authentication integrity and non-repudiation for electronic communications.,Cybersecurity,4
AES,Advanced Encryption Standard,A specification for the encryption of electronic data established by the U.S. National Institute of Standards and Technology. AES is a symmetric block cipher chosen by the U.S. government to protect classified information and is implemented in software and hardware throughout the world for sensitive data protection.,Cybersecurity,4
