Acronym,Definition,Description,Tags,Grade
NAFTA,North American Free Trade Agreement,A trade agreement between Canada Mexico and the United States that eliminated most tariffs and barriers to free trade and investment. NAFTA created one of the world's largest free trade zones laying the groundwork for strong economic growth and helping to raise the standard of living for people across North America.,Economics,4
HIPAA,Health Insurance Portability and Accountability Act,A US federal law that provides data privacy and security provisions for safeguarding medical information. HIPAA establishes national standards to protect sensitive patient health information from being disclosed without the patient's consent or knowledge while enabling the flow of health information needed for quality care.,Healthcare,4
SWIFT,Society for Worldwide Interbank Financial Telecommunication,A global member-owned cooperative that provides secure financial messaging services for international money transfers between banks. SWIFT facilitates standardized communication for financial transactions enabling reliable secure and efficient transfer of funds across borders.,Finance,4
CMMS,Computerized Maintenance Management System,A software package that maintains a database of information about an organization's maintenance operations. CMMS helps maintenance teams keep track of assets preventive maintenance schedules work orders inventory management and equipment history to optimize maintenance activities and extend asset lifecycles.,Facilities,4
SCADA,Supervisory Control and Data Acquisition,A system architecture that uses computers networked data communications and graphical user interfaces for high-level process management. SCADA systems collect real-time data monitor and control industrial processes and infrastructure in facilities such as power plants manufacturing facilities and utilities.,Industrial,4
PTSD,Post-Traumatic Stress Disorder,A psychiatric disorder that can occur in people who have experienced or witnessed a traumatic event. PTSD symptoms include intrusive memories nightmares severe anxiety and uncontrollable thoughts about the event often significantly impairing daily functioning and quality of life for those affected.,Healthcare,4
CMMI,Capability Maturity Model Integration,A process level improvement training and appraisal program administered by the CMMI Institute. CMMI provides organizations with essential elements of effective processes to improve performance reduce costs increase operational predictability and elevate product quality across various domains.,Business,4
LEED,Leadership in Energy and Environmental Design,A widely used green building rating system that provides a framework for healthy highly efficient and cost-saving green buildings. LEED certification is a globally recognized symbol of sustainability achievement and leadership providing third-party verification of green building features and performance.,Architecture,4
GAAP,Generally Accepted Accounting Principles,A common set of accounting principles standards and procedures that companies must follow when compiling financial statements. GAAP ensures consistency transparency and comparability in financial reporting making it possible for investors and creditors to make informed decisions based on standardized financial information.,Finance,4
IFRS,International Financial Reporting Standards,A set of accounting standards developed by the International Accounting Standards Board that provides a global framework for how public companies prepare and disclose their financial statements. IFRS promotes transparency accountability and efficiency in global financial markets by standardizing financial reporting.,Finance,4
CAD,Computer-Aided Design,Software used by architects engineers and manufacturers to create precise 2D and 3D models of physical components and systems. CAD enables detailed visualization improved accuracy efficient design iterations documentation and integration with manufacturing processes across numerous industries.,Engineering,4
CRM,Customer Relationship Management,A technology for managing all company relationships and interactions with customers and potential customers. CRM systems help companies stay connected to customers streamline processes and improve profitability by organizing and automating communications sales and marketing functions.,Business,4
ERP,Enterprise Resource Planning,Business process management software that allows an organization to use a system of integrated applications to manage the business and automate many back-office functions. ERP systems integrate various organizational systems and facilitate error-free transactions and production improving efficiency and management reporting.,Business,4
STEM,Science Technology Engineering and Mathematics,An educational approach that integrates these four disciplines into a cohesive learning paradigm based on real-world applications. STEM education emphasizes problem-solving critical thinking innovation and the practical application of knowledge to prepare students for the demands of the modern workforce.,Education,4
ROI,Return on Investment,A performance measure used to evaluate the efficiency or profitability of an investment relative to its cost. ROI is calculated by dividing the benefit (return) of an investment by the cost of the investment and is used by businesses and individuals to compare the efficiency of different investment options.,Finance,4
GDPR,General Data Protection Regulation,A regulation in EU law on data protection and privacy for all individuals within the European Union and the European Economic Area. GDPR addresses the transfer of personal data outside the EU and EEA areas and gives individuals control over their personal data while simplifying the regulatory environment for international business.,Legal,4
OSHA,Occupational Safety and Health Administration,A U.S. federal agency responsible for ensuring safe and healthful working conditions by setting and enforcing standards and providing training education and assistance. OSHA works to prevent workplace injuries illnesses and fatalities through regulations inspections and educational initiatives.,Safety,4
RFID,Radio-Frequency Identification,A technology that uses electromagnetic fields to automatically identify and track tags attached to objects. RFID systems consist of small tags containing electronically stored information and readers that collect this data wirelessly enabling applications in inventory tracking asset management access control and payment systems.,Technology,4
SaaS,Software as a Service,A software licensing and delivery model where applications are hosted centrally and accessed by users via a web browser. SaaS eliminates the need for organizations to install and run applications on their own computers or data centers reducing IT infrastructure costs software maintenance responsibilities and initial setup expenses.,Technology,4
IoT,Internet of Things,A system of interrelated computing devices mechanical and digital machines provided with unique identifiers and the ability to transfer data over a network without requiring human-to-human or human-to-computer interaction. IoT connects everyday objects to the internet enabling smart homes industrial automation and new services.,Technology,4
