Acronym,Definition,Description,Tags,Grade
MRI,Magnetic Resonance Imaging,A medical imaging technique that uses a magnetic field and computer-generated radio waves to create detailed images of the organs and tissues within the body. MRI produces high-resolution images without radiation exposure allowing doctors to diagnose conditions that might not be adequately assessed with other imaging methods like X-rays or CT scans.,Healthcare,4
ECG,Electrocardiogram,A test that records the electrical activity of the heart over a period of time using electrodes placed on the skin. ECGs detect heart problems analyze heart rhythms and monitor heart health providing critical information about cardiac function that helps in diagnosing and treating heart conditions.,Healthcare,4
ADHD,Attention Deficit Hyperactivity Disorder,A neurodevelopmental disorder characterized by persistent patterns of inattention hyperactivity and impulsivity that interferes with functioning or development. ADHD affects both children and adults impacting academic performance work productivity and social relationships through difficulties with focus task completion and self-regulation.,Healthcare,4
COPD,Chronic Obstructive Pulmonary Disease,A chronic inflammatory lung disease that causes obstructed airflow from the lungs. COPD includes emphysema and chronic bronchitis is typically caused by long-term exposure to irritating gases or particulate matter and leads to symptoms such as breathing difficulty coughing wheezing and chest tightness.,Healthcare,4
BMI,Body Mass Index,A value derived from the mass and height of a person used as a screening tool to identify possible weight problems for adults. BMI is calculated by dividing a person's weight in kilograms by their height in meters squared providing a simple numeric measure of a person's thickness or thinness.,Healthcare,4
CDC,Centers for Disease Control and Prevention,A national public health institute in the United States that works to protect public health and safety through the control and prevention of disease injury and disability. CDC conducts research provides health information responds to health emergencies and implements prevention strategies.,Government,4
MRSA,Methicillin-Resistant Staphylococcus Aureus,A type of staph bacteria that has developed resistance to many antibiotics used to treat ordinary staph infections. MRSA causes infections that are difficult to treat can spread in healthcare settings community environments and through direct contact making it a significant public health concern.,Healthcare,4
SIDS,Sudden Infant Death Syndrome,The unexplained death usually during sleep of a seemingly healthy baby less than a year old. SIDS is sometimes called crib death and remains a leading cause of death in infants despite recommended preventive measures like placing babies on their backs to sleep.,Healthcare,4
SSRI,Selective Serotonin Reuptake Inhibitor,A class of medications primarily used to treat depression and anxiety disorders. SSRIs work by increasing levels of serotonin in the brain by blocking its reabsorption helping to improve mood regulate emotions and reduce anxiety symptoms with fewer side effects than older antidepressants.,Healthcare,4
UNICEF,United Nations Children's Fund,A United Nations agency responsible for providing humanitarian and developmental aid to children worldwide. UNICEF works in over 190 countries and territories to save children's lives defend their rights and help them fulfill their potential regardless of race religion or politics.,Humanitarian,4
UNESCO,United Nations Educational Scientific and Cultural Organization,A specialized agency of the United Nations aimed at promoting world peace and security through international cooperation in education the sciences and culture. UNESCO works to preserve cultural heritage advance universal education and foster scientific collaboration across borders.,International,4
INTERPOL,International Criminal Police Organization,An intergovernmental organization that facilitates international police cooperation. INTERPOL enables police around the world to work together to make the world a safer place through technical support operational assistance crime-fighting expertise and global databases.,Law Enforcement,4
FEMA,Federal Emergency Management Agency,A U.S. agency responsible for coordinating the response to disasters that overwhelm local and state resources. FEMA provides emergency assistance supports citizens and first responders helps communities prepare for various hazards and assists in disaster recovery efforts.,Government,4
NOAA,National Oceanic and Atmospheric Administration,A scientific and regulatory agency within the United States Department of Commerce that forecasts weather monitors oceanic and atmospheric conditions and charts the seas. NOAA warns of dangerous weather provides environmental stewardship conducts research and manages coastal and marine ecosystems.,Science,4
DARPA,Defense Advanced Research Projects Agency,A research and development agency of the United States Department of Defense responsible for the development of emerging technologies for military use. DARPA pursues high-risk high-reward research initiatives to prevent and create strategic surprise enhancing national security through revolutionary advances in science and technology.,Military,4
CERN,European Organization for Nuclear Research,A European research organization that operates the largest particle physics laboratory in the world. CERN's research explores the fundamental structure of the universe using complex scientific instruments including the Large Hadron Collider to study the basic constituents of matter and their interactions.,Science,4
USDA,United States Department of Agriculture,A federal department responsible for developing and executing federal laws related to farming forestry rural economic development and food. USDA oversees food safety inspection agricultural research conservation efforts nutrition programs and rural development initiatives to support American agriculture.,Government,4
OPEC,Organization of the Petroleum Exporting Countries,An intergovernmental organization of 13 nations that coordinates petroleum policies among member countries. OPEC aims to secure fair prices for petroleum producers a steady supply to consumers and a fair return on capital for industry investors while regulating oil production and price stabilization.,Economics,4
NIH,National Institutes of Health,The primary agency of the United States government responsible for biomedical and public health research. NIH conducts its own scientific research and provides funding for research at universities and other institutions contributing to important medical discoveries and improving human health.,Science,4
NSF,National Science Foundation,A U.S. government agency that supports fundamental research and education in all non-medical fields of science and engineering. NSF funds approximately 24 percent of all federally supported basic research conducted by America's colleges and universities promoting scientific progress and advancing knowledge.,Science,4
